Province ,Total Seats,Leading/Winning Party,Runner-up Party and (seats),Key Performance
Koshi,28,RSP (17),"NC(4), UML (4), SSP (3)",NC and UML secured 4 seats each and SSP get 3 seats.
Madhesh,32,RSP (30),"NC(1), NCP (1)",Strong dominance; NC secured only 1 seat. And NCP secured 1.
Bagmati,33,RSP (31),"NC(1), NCP (1)",Swept most urban areas including Kathmandu.
Gandaki,18,RSP (15),"NC (2), Independent (1)",NC secured 2 seats and Independent with 1 seats. 
Limbini,26,RSP (21),"NC(2), NCP (2), UML (1)",NC and NCP followed with 2 seats each.& UML 1 seat
Karnali,12,NC (5),"NCP (4), RSP (1), RPP(1), UML  (1)",Only a provience where NC maintained a lead over RSP (1)
Sudurpaschim,16,RSP (10),"NC (3), UML (3)",NC  and UML Secured 3 seats each. 
